datetime;demand
2024-01-01T10:30:00.000+01:00;20256
2024-01-01T10:35:00.000+01:00;20305
2024-01-01T10:40:00.000+01:00;20408
2024-01-01T10:45:00.000+01:00;20573
2024-01-01T10:50:00.000+01:00;20604
2024-01-01T10:55:00.000+01:00;20643
2024-01-01T11:00:00.000+01:00;20720
2024-01-01T11:05:00.000+01:00;20798
2024-01-01T11:10:00.000+01:00;20886
2024-01-01T11:15:00.000+01:00;20956
2024-01-01T11:20:00.000+01:00;20943
2024-01-01T11:25:00.000+01:00;20995
2024-01-01T11:30:00.000+01:00;21050
2024-01-01T11:35:00.000+01:00;21061
2024-01-01T11:40:00.000+01:00;21154
2024-01-01T11:45:00.000+01:00;21217
2024-01-01T11:50:00.000+01:00;21123
2024-01-01T11:55:00.000+01:00;21152
2024-01-01T12:00:00.000+01:00;21005
2024-01-01T12:05:00.000+01:00;21196
2024-01-01T12:10:00.000+01:00;21214
2024-01-01T12:15:00.000+01:00;21211
2024-01-01T12:20:00.000+01:00;21218
2024-01-01T12:25:00.000+01:00;21188
2024-01-01T12:30:00.000+01:00;21185
2024-01-01T12:35:00.000+01:00;21232
2024-01-01T12:40:00.000+01:00;21232
2024-01-01T12:45:00.000+01:00;21173
2024-01-01T12:50:00.000+01:00;21203
2024-01-01T12:55:00.000+01:00;21125
2024-01-01T13:00:00.000+01:00;21106
2024-01-01T13:05:00.000+01:00;21148
2024-01-01T13:10:00.000+01:00;21281
2024-01-01T13:15:00.000+01:00;21291
2024-01-01T13:20:00.000+01:00;21344
2024-01-01T13:25:00.000+01:00;21371
2024-01-01T13:30:00.000+01:00;21416
2024-01-01T13:35:00.000+01:00;21337
2024-01-01T13:40:00.000+01:00;21403
2024-01-01T13:45:00.000+01:00;21459
2024-01-01T13:50:00.000+01:00;21508
2024-01-01T13:55:00.000+01:00;21642
2024-01-01T14:00:00.000+01:00;21693
2024-01-01T14:05:00.000+01:00;21753
2024-01-01T14:10:00.000+01:00;21735
2024-01-01T14:15:00.000+01:00;21605
2024-01-01T14:20:00.000+01:00;21607
2024-01-01T14:25:00.000+01:00;21430
2024-01-01T14:30:00.000+01:00;21454
2024-01-01T14:35:00.000+01:00;21406
2024-01-01T14:40:00.000+01:00;21219
2024-01-01T14:45:00.000+01:00;21087
2024-01-01T14:50:00.000+01:00;21168
2024-01-01T14:55:00.000+01:00;21083
2024-01-01T15:00:00.000+01:00;20958
2024-01-01T15:05:00.000+01:00;20892
2024-01-01T15:10:00.000+01:00;20974
2024-01-01T15:15:00.000+01:00;20848
2024-01-01T15:20:00.000+01:00;20776
2024-01-01T15:25:00.000+01:00;20740
2024-01-01T15:30:00.000+01:00;20696
2024-01-01T15:35:00.000+01:00;20605
2024-01-01T15:40:00.000+01:00;20671
2024-01-01T15:45:00.000+01:00;20607
2024-01-01T15:50:00.000+01:00;20570
2024-01-01T15:55:00.000+01:00;20654
2024-01-01T16:00:00.000+01:00;20599
2024-01-01T16:05:00.000+01:00;20676
2024-01-01T16:10:00.000+01:00;20668
2024-01-01T16:15:00.000+01:00;20750
2024-01-01T16:20:00.000+01:00;20750
2024-01-01T16:25:00.000+01:00;20766
2024-01-01T16:30:00.000+01:00;20881
2024-01-01T16:35:00.000+01:00;20873
2024-01-01T16:40:00.000+01:00;21072
2024-01-01T16:45:00.000+01:00;21049
2024-01-01T16:50:00.000+01:00;21253
2024-01-01T16:55:00.000+01:00;21311
2024-01-01T17:00:00.000+01:00;21414
2024-01-01T17:05:00.000+01:00;21615
2024-01-01T17:10:00.000+01:00;21706
2024-01-01T17:15:00.000+01:00;21916
2024-01-01T17:20:00.000+01:00;21912
2024-01-01T17:25:00.000+01:00;21997
2024-01-01T17:30:00.000+01:00;22112
2024-01-01T17:35:00.000+01:00;22290
2024-01-01T17:40:00.000+01:00;22633
2024-01-01T17:45:00.000+01:00;22742
2024-01-01T17:50:00.000+01:00;23114
2024-01-01T17:55:00.000+01:00;23294
2024-01-01T18:00:00.000+01:00;23484
2024-01-01T18:05:00.000+01:00;23960
2024-01-01T18:10:00.000+01:00;24131
2024-01-01T18:15:00.000+01:00;24421
2024-01-01T18:20:00.000+01:00;24687
2024-01-01T18:25:00.000+01:00;24839
2024-01-01T18:30:00.000+01:00;25073
2024-01-01T18:35:00.000+01:00;25194
2024-01-01T18:40:00.000+01:00;25309
2024-01-01T18:45:00.000+01:00;25351
2024-01-01T18:50:00.000+01:00;25466
2024-01-01T18:55:00.000+01:00;25540
2024-01-01T19:00:00.000+01:00;25695
