datetime_utc,demanda,programada,prevista
2013-12-31 00:00:00+0000,24301.666666666668,23878.333333333332,23878.333333333332
2014-01-01 00:00:00+0000,22987.006944444445,22969.354166666668,22969.354166666668
2014-01-02 00:00:00+0000,28309.618055555555,28156.75,28156.75
2014-01-03 00:00:00+0000,28473.597222222223,28353.847222222223,28353.847222222223
2014-01-04 00:00:00+0000,26845.6875,26758.743055555555,26758.743055555555
2014-01-05 00:00:00+0000,25300.381944444445,25187.42361111111,25187.42361111111
2014-01-06 00:00:00+0000,23891.944444444445,23966.881944444445,23966.881944444445
2014-01-07 00:00:00+0000,29944.63888888889,29995.159722222223,29995.159722222223
2014-01-08 00:00:00+0000,30578.73611111111,30623.3125,30623.3125
2014-01-09 00:00:00+0000,30896.493055555555,30832.090277777777,30832.090277777777
2014-01-10 00:00:00+0000,30869.375,30818.680555555555,30818.680555555555
2014-01-11 00:00:00+0000,27790.76388888889,27987.465277777777,27987.465277777777
2014-01-12 00:00:00+0000,25937.92361111111,25888.229166666668,25888.229166666668
2014-01-13 00:00:00+0000,31242.506944444445,31208.215277777777,31208.215277777777
2014-01-14 00:00:00+0000,31834.270833333332,31812.430555555555,31812.430555555555
2014-01-15 00:00:00+0000,31590.055555555555,31693.659722222223,31693.659722222223
2014-01-16 00:00:00+0000,31597.25,31615.708333333332,31615.708333333332
2014-01-17 00:00:00+0000,31417.590277777777,31536.708333333332,31536.708333333332
2014-01-18 00:00:00+0000,28258.38888888889,28571.340277777777,28571.340277777777
2014-01-19 00:00:00+0000,26438.409722222223,26470.819444444445,26470.819444444445
2014-01-20 00:00:00+0000,31783.42361111111,31970.680555555555,31970.680555555555
2014-01-21 00:00:00+0000,32627.291666666668,32578.743055555555,32578.743055555555
2014-01-22 00:00:00+0000,32457.680555555555,32573.784722222223,32573.784722222223
2014-01-23 00:00:00+0000,31951.965277777777,32117.63888888889,32117.63888888889
2014-01-24 00:00:00+0000,31749.472222222223,31779.54861111111,31779.54861111111
2014-01-25 00:00:00+0000,27922.131944444445,28062.61111111111,28062.61111111111
2014-01-26 00:00:00+0000,25583.145833333332,25617.694444444445,25617.694444444445
2014-01-27 00:00:00+0000,30780.54861111111,30610.625,30610.625
2014-01-28 00:00:00+0000,32266.23611111111,32191.98611111111,32191.98611111111
2014-01-29 00:00:00+0000,32004.1875,32058.20138888889,32058.20138888889
2014-01-30 00:00:00+0000,32118.180555555555,32361.847222222223,32361.847222222223
2014-01-31 00:00:00+0000,31931.434782608696,32071.572463768116,32071.572463768116
2014-01-31 00:00:00+0000,28750.666666666668,28803.5,28803.5
2014-02-01 00:00:00+0000,28431.04861111111,28490.88888888889,28490.88888888889
2014-02-02 00:00:00+0000,26278.17361111111,26411.104166666668,26411.104166666668
2014-02-03 00:00:00+0000,32403.38888888889,32356.42361111111,32356.42361111111
2014-02-04 00:00:00+0000,32895.63888888889,32940.104166666664,32940.104166666664
2014-02-05 00:00:00+0000,32318.625,32266.979166666668,32266.979166666668
2014-02-06 00:00:00+0000,31589.618055555555,31537.152777777777,31537.152777777777
2014-02-07 00:00:00+0000,31393.930555555555,31428.381944444445,31428.381944444445
2014-02-08 00:00:00+0000,28198.79861111111,28181.48611111111,28181.48611111111
2014-02-09 00:00:00+0000,26361.930555555555,26435.590277777777,26435.590277777777
2014-02-10 00:00:00+0000,31448.652777777777,31486.444444444445,31486.444444444445
2014-02-11 00:00:00+0000,33010.305555555555,33027.4375,33027.4375
2014-02-12 00:00:00+0000,32540.180555555555,32479.75,32479.75
2014-02-13 00:00:00+0000,31526.875,31501.166666666668,31501.166666666668
2014-02-14 00:00:00+0000,30560.875,30547.4375,30547.4375
2014-02-15 00:00:00+0000,27425.895833333332,27461.631944444445,27461.631944444445
2014-02-16 00:00:00+0000,25724.694444444445,25867.569444444445,25867.569444444445
2014-02-17 00:00:00+0000,30974.909722222223,31041.54861111111,31041.54861111111
2014-02-18 00:00:00+0000,31547.472222222223,31543.930555555555,31543.930555555555
2014-02-19 00:00:00+0000,31045.590277777777,31063.472222222223,31063.472222222223
2014-02-20 00:00:00+0000,30989.534722222223,30992.833333333332,30992.833333333332
2014-02-21 00:00:00+0000,30693.631944444445,30861.472222222223,30861.472222222223
2014-02-22 00:00:00+0000,27394.520833333332,27483.29861111111,27483.29861111111
2014-02-23 00:00:00+0000,25312.25,25375.07638888889,25375.07638888889
2014-02-24 00:00:00+0000,30730.70138888889,30731.17361111111,30731.17361111111
2014-02-25 00:00:00+0000,31408.20138888889,31325.73611111111,31325.73611111111
2014-02-26 00:00:00+0000,31133.784722222223,31218.645833333332,31218.645833333332
2014-02-27 00:00:00+0000,31196.875,31296.75,31296.75
2014-02-28 00:00:00+0000,30599.528985507248,30391.036231884056,30391.036231884056
2014-02-28 00:00:00+0000,28136.666666666668,28123.833333333332,28123.833333333332
2014-03-01 00:00:00+0000,28098.04861111111,28085.805555555555,28085.805555555555
2014-03-02 00:00:00+0000,25104.48611111111,25321.67361111111,25321.67361111111
2014-03-03 00:00:00+0000,30212.125,30337.895833333332,30337.895833333332
2014-03-04 00:00:00+0000,31150.930555555555,31176.659722222223,31176.659722222223
2014-03-05 00:00:00+0000,30430.381944444445,30552.819444444445,30552.819444444445
2014-03-06 00:00:00+0000,29850.645833333332,29932.527777777777,29932.527777777777
2014-03-07 00:00:00+0000,29488.23611111111,29629.694444444445,29629.694444444445
2014-03-08 00:00:00+0000,26022.715277777777,26044.631944444445,26044.631944444445
2014-03-09 00:00:00+0000,23901.48611111111,24101.631944444445,24101.631944444445
2014-03-10 00:00:00+0000,28908.166666666668,28950.381944444445,28950.381944444445
2014-03-11 00:00:00+0000,29425.527777777777,29623.652777777777,29623.652777777777
